icao,time_epoch,latitude,longitude,altitude_m,speed_mps,heading,vz_mps,typecode,clearance
SYN000,1792497600.0,45.14344789485539,15.868115941673956,10668.000000042672,232.05688478623662,90.0,0.0,B738,NONE
SYN000,1792497610.0,45.14334224583321,15.897854605343323,10668.000000042672,231.60851436121294,90.0,0.0,B738,NONE
SYN000,1792497620.0,45.143481014038116,15.926936079294025,10668.000000042672,230.83613711170585,90.0,0.0,B738,NONE
SYN000,1792497630.0,45.14388438467074,15.956526346911426,10668.000000042672,231.43724944189444,90.0,0.0,B738,NONE
SYN000,1792497640.0,45.144173494893806,15.986288664294971,10668.000000042672,231.4639179951054,90.0,0.0,B738,NONE
SYN000,1792497650.0,45.1439805706268,16.016414145247595,10668.000000042672,232.03300600154236,90.0,0.0,B738,NONE
SYN000,1792497660.0,45.1435089540934,16.04620308543476,10668.000000042672,232.09300891899963,90.0,0.0,B738,NONE
SYN000,1792497670.0,45.143753129435325,16.075618773175936,10668.000000042672,232.63537733360155,90.0,0.0,B738,NONE
SYN000,1792497680.0,45.14352872961104,16.105519096581833,10668.000000042672,231.72577927277257,90.0,0.0,B738,NONE
SYN000,1792497690.0,45.14403793127984,16.13493937947673,10668.000000042672,232.0374072099844,90.0,0.0,B738,NONE
SYN000,1792497700.0,45.144291380750005,16.164379381539845,10668.000000042672,231.50868300973477,90.0,0.0,B738,NONE
SYN000,1792497710.0,45.144166999906496,16.19406011610942,10668.000000042672,232.03132709857778,90.0,0.0,B738,NONE
SYN000,1792497720.0,45.14407950310571,16.22370109392733,10668.000000042672,231.05097854679295,90.0,0.0,B738,NONE
SYN000,1792497730.0,45.14392317344738,16.252661469675857,10668.000000042672,230.5940307875828,90.0,0.0,B738,NONE
SYN000,1792497740.0,45.1437209933314,16.282230995311274,10668.000000042672,232.6731880303779,90.0,0.0,B738,NONE
SYN000,1792497750.0,45.14380170579667,16.311795369657137,10668.000000042672,231.76846372006406,90.0,0.0,B738,NONE
SYN000,1792497760.0,45.14338125926714,16.341346891548838,10668.000000042672,230.83010542193188,90.0,0.0,B738,NONE
SYN000,1792497770.0,45.14320914309307,16.371494571922053,10668.000000042672,232.92555606095837,90.0,0.0,B738,NONE
SYN000,1792497780.0,45.143502288781676,16.40119417501619,10591.800000042367,231.88861032456717,90.0,-7.62000000003048,B738,DESCEND
SYN000,1792497790.0,45.14321275312299,16.430354392497534,10515.600000042063,231.7582922668746,90.0,-7.62000000003048,B738,NONE
SYN000,1792497800.0,45.1430785951501,16.459658079311783,10439.400000041756,231.43801793436683,90.0,-7.62000000003048,B738,NONE
SYN000,1792497810.0,45.143056853220365,16.489251479543395,10363.200000041452,230.92927563369074,90.0,-7.62000000003048,B738,NONE
SYN000,1792497820.0,45.14306204559328,16.518416309237526,10287.000000041147,232.4467056371378,90.0,-7.62000000003048,B738,NONE
SYN000,1792497830.0,45.14351780669742,16.54762161419798,10210.800000040843,231.8297388634189,90.0,-7.62000000003048,B738,NONE
SYN000,1792497840.0,45.14345151437106,16.577192589609275,10134.600000040538,231.5485011880092,90.0,-7.62000000003048,B738,NONE
SYN000,1792497850.0,45.14380944083301,16.606895397544477,10058.400000040234,230.82979413310161,90.0,-7.62000000003048,B738,NONE
SYN000,1792497860.0,45.14383349528267,16.636427140643118,9982.200000039928,230.8840332601495,90.0,-7.62000000003048,B738,NONE
SYN000,1792497870.0,45.143894796718065,16.66595732818507,9906.000000039623,232.5489064998081,90.0,-7.62000000003048,B738,NONE
SYN000,1792497880.0,45.14383843499605,16.695626682163173,9829.800000039319,229.7653934369972,90.0,-7.62000000003048,B738,NONE
SYN000,1792497890.0,45.14333515179203,16.7252618782027,9753.600000039014,231.5995829217794,90.0,-7.62000000003048,B738,NONE
SYN000,1792497900.0,45.143607797549315,16.75445297157562,9677.40000003871,231.28021452652675,90.0,-7.62000000003048,B738,NONE
SYN000,1792497910.0,45.14286008428806,16.783738899852953,9601.200000038405,231.16560861515848,90.0,-7.62000000003048,B738,NONE
SYN000,1792497920.0,45.14283101392094,16.813108985305877,9525.000000038099,232.23625035312975,90.0,-7.62000000003048,B738,NONE
